                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.40682,                0.28387,                0.89889,                0.99082,                      1,                  0.995,                0.90153,                0.53671,                0.28601,                0.89857,              0.0012313,              0.0012313,              0.0012313
                    134,                0.42002,                0.30812,                 0.8979,                0.99181,                      1,                  0.995,                0.88094,                0.54126,                0.26945,                0.90757,               0.001228,               0.001228,               0.001228
                    135,                 0.4151,                0.30324,                0.90251,                0.96643,                0.99808,                0.99028,                0.88357,                0.55742,                0.29765,                0.94167,              0.0012247,              0.0012247,              0.0012247
                    136,                 0.4129,                0.30079,                0.89893,                0.99422,                      1,                  0.995,                0.89622,                0.55573,                0.26826,                0.93356,              0.0012214,              0.0012214,              0.0012214
                    137,                0.40113,                0.29644,                0.90484,                0.99477,                      1,                  0.995,                0.89075,                0.53247,                 0.2644,                 0.9244,              0.0012181,              0.0012181,              0.0012181
                    138,                 0.4318,                0.30245,                0.91973,                0.99475,                      1,                  0.995,                0.89422,                0.53819,                0.25685,                  0.913,              0.0012148,              0.0012148,              0.0012148
                    139,                0.41836,                0.30007,                0.91522,                0.99428,                      1,                  0.995,                0.88786,                 0.5309,                0.26129,                0.90701,              0.0012115,              0.0012115,              0.0012115
                    140,                0.41906,                0.29988,                0.90136,                 0.9953,                      1,                  0.995,                0.89567,                0.51104,                0.25512,                0.91788,              0.0012082,              0.0012082,              0.0012082
                    141,                 0.4081,                0.29569,                0.90139,                0.99627,                      1,                  0.995,                0.88245,                0.54074,                0.27481,                0.92273,              0.0012049,              0.0012049,              0.0012049
                    142,                0.41749,                0.30439,                0.91553,                 0.9954,                      1,                  0.995,                0.88455,                0.53322,                0.26641,                0.92864,              0.0012016,              0.0012016,              0.0012016
                    143,                0.43182,                0.29755,                0.90909,                0.99473,                      1,                  0.995,                0.89086,                0.53505,                 0.2665,                0.92601,              0.0011983,              0.0011983,              0.0011983
                    144,                0.42493,                0.30672,                0.90766,                0.99296,                0.99937,                  0.995,                0.87579,                0.56603,                0.27523,                0.96198,               0.001195,               0.001195,               0.001195
                    145,                0.40702,                0.28342,                0.89417,                0.99311,                      1,                  0.995,                0.88204,                0.52524,                0.27246,                0.89993,              0.0011917,              0.0011917,              0.0011917
                    146,                0.41221,                0.29333,                0.91234,                0.99135,                0.99809,                  0.995,                0.88581,                0.51735,                 0.2566,                0.90038,              0.0011884,              0.0011884,              0.0011884
                    147,                0.42511,                0.30074,                0.90433,                0.99165,                0.99904,                  0.995,                0.86756,                0.60883,                0.27054,                0.96224,              0.0011851,              0.0011851,              0.0011851
                    148,                0.41832,                0.28693,                0.88904,                0.99712,                      1,                  0.995,                0.86807,                 0.5764,                0.26815,                 0.9566,              0.0011818,              0.0011818,              0.0011818
                    149,                 0.4096,                0.28893,                0.90851,                0.99676,                      1,                  0.995,                0.86728,                0.59504,                0.26548,                0.98949,              0.0011785,              0.0011785,              0.0011785
                    150,                0.40908,                0.28177,                0.90046,                0.99629,                      1,                  0.995,                0.86735,                0.58035,                0.26848,                0.98272,              0.0011752,              0.0011752,              0.0011752
                    151,                0.41833,                0.27755,                 0.9052,                0.99488,                      1,                  0.995,                0.87557,                0.57319,                0.25361,                0.97392,              0.0011719,              0.0011719,              0.0011719
                    152,                0.41251,                0.28209,                0.89768,                0.99534,                      1,                  0.995,                0.86443,                0.58389,                0.24669,                0.98675,              0.0011686,              0.0011686,              0.0011686
                    153,                0.40802,                0.29094,                 0.8993,                0.99599,                      1,                  0.995,                0.86859,                0.58736,                0.25953,                0.97116,              0.0011653,              0.0011653,              0.0011653
                    154,                0.37906,                0.26028,                0.88856,                0.99493,                      1,                  0.995,                0.86213,                0.61583,                 0.2607,                0.98126,               0.001162,               0.001162,               0.001162
                    155,                0.39986,                0.27547,                0.89881,                0.99402,                      1,                  0.995,                0.86255,                0.59557,                0.26137,                0.97659,              0.0011587,              0.0011587,              0.0011587
                    156,                 0.3958,                0.27375,                0.88928,                0.99644,                      1,                  0.995,                0.87304,                0.59243,                0.26822,                 0.9692,              0.0011554,              0.0011554,              0.0011554
                    157,                0.40902,                0.29035,                0.91388,                0.99625,                      1,                  0.995,                0.86586,                0.60081,                0.26272,                0.97754,              0.0011521,              0.0011521,              0.0011521
                    158,                0.39379,                0.27632,                0.89649,                0.99458,                      1,                  0.995,                0.87389,                0.59731,                0.26486,                0.96174,              0.0011488,              0.0011488,              0.0011488
